Question,Answer,FAQ_Category_Name,FAQ_Form_Name,Escalation_contact_Name,Target_User_Type
I have taken Advanced Placement/International Baccalaureate/College-Level Examination Program exams. How can I receive credit?,"First, an official report of your score must be sent from the appropriate testing agency to the UMBC Office of Undergraduate Admissions. These scores will then be evaluated according to the standards listed in the UMBC Undergraduate Catalog.",Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
I received course credit for Advanced Placement/International Baccalaureate/College-Level Examination Program exams at my previous institution. Is it possible to receive credit from UMBC as well?,"UMBC does not accept another institution’s assessment of AP/IB/CLEP exam scores for credit. In order for a student to receive credit for any of these exams, an official report of the student’s score must be sent directly from the appropriate testing agency to the UMBC Office of Undergraduate Admissions. These scores will then be evaluated according to the standards listed in the UMBC Undergraduate Catalog.",Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
Do grades I receive when I take classes outside of UMBC count toward my GPA?,"Not usually. You receive credits toward the 120 credits needed to graduate (and toward the 45 upper level credits needed if the course is upper level), but only your grades in UMBC courses are used in your UMBC GPA calculation.",Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
Can I take a course at a community college during my last semester?,"Yes, as long as you have not already transferred in the maximum of 60 credits from a 2-year institution, and you will satisfy the requirement of 30 credits taken at UMBC.",Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
Advising,"Computer science and computer engineering majors who have passed their respective gateway requirements are assigned individual faculty advisors. Pre-gateway majors are advised by the advising staff. Their offices are located in the ITE Building in Rooms 203-206. For more information, please see the advising information: https://advising.coeit.umbc.edu/advising-information-2/ provided by the Office of Undergraduate Student Services: https://advising.coeit.umbc.edu/",Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
Who is my adviser?,"Declared CMSC or CMPE majors with under 30 credits are advised by the COEIT advising office. After 30 credits, majors receive a permanent adviser. You should receive an email from your adviser before the time to register for classes for the coming semester. If you have forgotten who your adviser is, contact the COEIT Advising office.",Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
How often must I meet with my academic advisor?,"Once a semester at minimum. Degree-seeking students must meet with their academic advisor before they can register for the next semester’s courses (Fall and Spring semesters). To ensure that students do this, an electronic ‘advising hold’ is placed on the student’s account, which is lifted by the academic advisor after advising has occurred. You do not have to meet with an adviser before taking Summer or Winter session courses, or if you are in your final semester before graduation.",Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
What do I need to do before showing up for my advising appointment?,"You should be familiar with the requirements for graduation and for completion of the major. You can find general graduation requirements here: https://catalog.umbc.edu/content.php?catoid=6&navoid=233
CMSC requirements here: https://www.csee.umbc.edu/undergraduate/computer-science-bs/
CMPE requirements here: https://www.csee.umbc.edu/undergraduate/computer-engineering-bs/
you can monitor your progress with ‘Degree Audit’: https://registrar.umbc.edu/rt/degree-audit/
You should arrive with a worksheet for the major filled out with courses you have already passed, and a list of courses you propose to take. Do not expect your adviser to do this work for you, it is your responsibility. Your adviser will mostly be concerned with your progress towards completing the requirements for the CSEE or CMPE major, but will be able to answer other questions you have (graduation, careers, etc), or at least be able to point you in the right direction to answers.",Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
Where can I find advising about careers?,"Consult: your academic advisor
https://advising.umbc.edu/
https://careers.umbc.edu/",Undergraduate Academic Advising,NULL,NULL,Undergraduate Student
When do I have to apply for graduation?,"The deadlines to apply for graduation are: May Graduation: February 15; August Graduation: June 15 and December Graduation: September 15.
Additional information can be found on the registrar’s page on graduate requirements: https://registrar.umbc.edu/rt/graduation/",Undergraduate Graduation,NULL,NULL,Undergraduate Student
Can I still ‘walk’ in the graduation ceremony if I have not completed all the requirements for my major or for UMBC?,Starting in the Fall 2015 (December graduation) students will only be allowed to participate in one graduation ceremony and will only be allowed to ‘walk’ if they will complete all the requirements for graduation with courses they are currently enrolled in.,Undergraduate Graduation,NULL,NULL,Undergraduate Student
What counts as academic misconduct?,"The UMBC policies on academic integrity and academic misconduct and the definition of misconduct.  If you are aware of academic misconduct that has occurred in one of your classes, please contact either the professor or a teaching assistant.",General Information,NULL,NULL,Undergraduate Student
"I am aware of academic misconduct that occurred in a class, what do I do?","The UMBC policies on academic integrity and academic misconduct and the definition of misconduct.  If you are aware of academic misconduct that has occurred in one of your classes, please contact either the professor or a teaching assistant.",General Information,NULL,NULL,Undergraduate Student
CSEE Online Graduate Orientation,Welcome to the CSEE department Online Orientation. We are happy to have you at UMBC and the CSEE department. For more information: https://www.csee.umbc.edu/online-orientation/,Graduate General Information,NULL,NULL,Graduate Student
CSEE Graduate Programs for Part-time Students,"The CSEE Department welcomes students who wish to earn an advanced degree while employed elsewhere, and the department offers many different programs. For more information: https://www.csee.umbc.edu/csee-graduate-programs-for-part-time-students/",Graduate General Information,NULL,NULL,Graduate Student
"Should I take COMP 101Y, CMSC 104, or CMSC 201?","COMP 101Y is a new course that is designed specifically for freshman computing majors (i.e., students considering or intending to major in CS, CE, IS, or the BTA program).  It provides a broad introduction to computational thinking, experience in programming, and instruction in core academic skills including time management, effective group work, and career planning.  CMSC 104 is a basic programming course that is primarily intended for non-computing majors.  CMSC 201 is a rigorous, fairly fast-paced introduction to programming skills that requires no prior programming experience but moves quickly and can be challenging for students who have not had much experience with computers and programming.  CMSC 201 also has a math prerequisite of MATH 150, so incoming students must have a MATH 151 placement or higher to take CMSC 201.

Therefore, if you are considering a computing major, have a MATH 151 or higher placement, and already have some programming experience or feel confident about the idea of learning a lot of programming very quickly, you should take CMSC 201.  If you are considering a computing major but do not have a MATH 151 or higher placement, or do not feel ready to enter a fast-paced, rigorous programming class, or simply aren’t quite sure about your major yet, you should take COMP 101Y.  If you are not intending a computing major and want a somewhat “gentler” programming introduction (or do not have a MATH 151 or higher placement), you should take CMSC 104.

If you are still not sure about which class to take, you may want to consult the “CMSC 104 Checklist” [https://www.csee.umbc.edu/undergraduate/computer-science-bs/faq/#check104] to determine whether your previous programming experience is equivalent to CMSC 104.",General Information,NULL,NULL,Undergraduate Student
"I took a computer class in high school/community college, is it equivalent to CMSC 201?","You can only “place out” of CMSC 201 if you took the AP CS A exam and scored a 5, or if you have taken a college course that transfers as equivalent to CMSC 201.  If you want to have a course evaluated for transfer equivalency, you will need to submit it through the registrar’s office.  Whether it will transfer depends on what was covered in the class and the difficulty of the programming assignments. Consult the “CMSC 201 Checklist” [https://www.csee.umbc.edu/undergraduate/computer-science-bs/faq/#check201]. If the course did not cover all of this material at a rigorous level, it will not transfer as equivalent to CMSC 201. Note also that programming projects for most of the computer science courses, including CMSC 104, 201, 202 and 341, are assigned on UMBC’s GL systems, which run the Linux operating system.  Therefore, the ability to edit, compile and debug programs using a command-line interface with Linux (or some other variant of UNIX) is very important for students who are intending to move directly into CMSC 202 or 341.  If you have not had this experience, you will need to be prepared to learn Linux very quickly if you are entering directly into one of these classes.

You can also check transfer equivalencies for courses at community colleges in Maryland using the USM Artsys Articulation System: https://artsys.usmd.edu/",General Information,NULL,NULL,Undergraduate Student
"I have taken a course that is equivalent to CMSC 201, but it was not in the Python programming language. Which course should I take next?",You can continue in the introductory sequence and take CMSC202. CMSC202 is taught in Java and does not require specific knowledge of Python.,General Information,NULL,NULL,Undergraduate Student
I took a course equivalent to CMSC 201 at another college and received a grade of “C”. What do I do now?,"If you are a computer science major, you must take CMSC 201 and earn a grade of “B” or better. If you take CMSC 202 and pass it, you will not be allowed to retake CMSC 201. So, you must take CMSC 201 and earn a grade of “B” or better before you take CMSC 202.",General Information,NULL,NULL,Undergraduate Student
I took the equivalent of CMSC 201 and CMSC 202 at another college and received a grade of “B” in both. Which course do I take next?,"If your CS1&2 courses were in Java and they really are equivalent to CMSC 201 & 202 (see checklists: https://www.csee.umbc.edu/undergraduate/computer-science-bs/faq/#check201) and you’ve had a course in discrete mathematics equivalent to CMSC 203, you should take CMSC 341 next. If your CS1&2 courses were taught in C/C++, it is recommended that you take CMSC202 at UMBC.

You should also be familiar with the command-line interface in Linux and be able to edit, compile/run and debug programs in Linux (or any variant of UNIX).",General Information,NULL,NULL,Undergraduate Student
"At another college, I took the equivalent of CMSC 201 and received a “B” and took the equivalent of CMSC 202 and received a “C”. What now?","If you are a computer science major, under the gateway requirements, you must earn a grade of “B” in both CMSC 201 and CMSC 202. You need to take CMSC 202 and earn a grade of “B” before you take CMSC 341.",General Information,NULL,NULL,Undergraduate Student
"At another college, I took the equivalent of CMSC 201 and received a “C” and took the equivalent of CMSC 202 and received an “A”. What now?","If you are a computer science major and you are under the gateway requirements, you must earn a grade of “B” in both CMSC 201 and CMSC 202. Your situation will be handled on a case-by-case basis. You need to speak to an advisor.",General Information,NULL,NULL,Undergraduate Student
"I took a course at another institution. Is it equivalent to CMSC 104, 201 or 202?","You can use the following checklists to help you determine whether you have programming experience that is equivalent to students who have taken CMSC 104, CMSC 201 and CMSC 202 at UMBC. You should check off a concept or skill below only if you are able to incorporate it in a programming project with little or no help.

https://www.csee.umbc.edu/undergraduate/computer-science-bs/faq/#check104
https://www.csee.umbc.edu/undergraduate/computer-science-bs/faq/#check201
https://www.csee.umbc.edu/undergraduate/computer-science-bs/faq/#check202",General Information,NULL,NULL,Undergraduate Student
Can I take CMSC 201 or 202 at another institution?,"We do not permit matriculated students to take CMSC 201 or 202 at another institution. If you are a computer science or computer engineering major at UMBC, you must take CMSC 201 and 202 at UMBC. The courses at UMBC fit the computer science and computer engineering curriculum much better than courses at other institutions.",General Information,NULL,NULL,Undergraduate Student
I completed CMSC 201 at UMBC; can I take CMSC 202 at another institution?,"No. The policy being adopted by many 2-year colleges and 4-year universities in Maryland is that students must finish the Computer Science I and II sequence (CSI&II) at the same institution. This policy was agreed upon at several articulation meetings sponsored by the University System of Maryland. Although there is general agreement on the list of topics that must be covered in Computer Science I and II, there is no agreement on which course should cover which topic.",General Information,NULL,NULL,Undergraduate Student
Why are CMSC 201 and 202 not offered during the summer?,Because there is not enough time in the summer sessions for all of the programming projects in a typical CMSC 201 or 202 class.,General Information,NULL,NULL,Undergraduate Student
I’ve finished CMSC 201 and I want to graduate as soon as possible. Can I take CMSC 202 at another institution over the summer then?,"Absolutely not. See above for why programming courses over the summer session are a bad idea and why you should not take CSI and CSII at different institutions. Taking CMSC 202 over the summer at a different institution is a very, very bad idea.",General Information,NULL,NULL,Undergraduate Student
I just found out that I got a “C” in CMSC 201 and I am under the gateway requirements for computer science majors. What should I do?,"You must repeat CMSC 201 at UMBC and receive a grade of “B” or higher, if you wish to remain a computer science major. You should do so during the next regular semester (Spring or Fall). Note that the UMBC undergraduate catalog states that:

… you may not repeat a course for a higher grade once you have successfully completed any subsequent course of a higher level in an academic sequence (for example, you may not retake FREN 101 after successfully completing FREN 102).

CMSC 201 and 202 are considered an academic sequence.

Note: If you do not pass the gateway requirements, you will not be allowed to graduate even if you have otherwise satisfied the requirements of the major. To pass the gateway, the students must complete CMSC 201 and CMSC 202 (minimum grade of “B” required) and CMSC 203 (minimum grade of “C” required)",General Information,NULL,NULL,Undergraduate Student
I just found out that I got a “C” in CMSC 202 and I am under the gateway requirements for computer science majors. What should I do?,"You must repeat CMSC 202 at UMBC and receive a grade of “B” or higher, if you wish to remain a computer science major. You should do so during the next regular semester (Spring or Fall). Note that enrollment in CMSC 341 requires departmental permission and you will not be allowed to register for CMSC 341 until you have completed the gateway requirements. To pass the gateway, the students must complete CMSC 201 and CMSC 202 (minimum grade of “B” required) and CMSC 203 (minimum grade of “C” required).

Note: If you do not pass the gateway requirements, you will not be allowed to graduate even if you have otherwise satisfied the requirements of the major.",General Information,NULL,NULL,Undergraduate Student
"I received a “C” in CMSC 201 or CMSC 202 on my second attempt (at UMBC or at another institution), and I am under the gateway requirements for computer science majors. What should I do?",We do not permit CS majors to take CMSC 201 or CMSC 202 for a third time.  You will need to choose a different major.,General Information,NULL,NULL,Undergraduate Student
I’m currently a freshman at a different college/university and I plan to transfer to UMBC as a computer science major in the next year or two. Which courses should I take now?,"Let’s start with what you should not do. You should not plan to just take the courses to satisfy the general requirements at your current institution and then take all the technical courses at UMBC. If you do so, you should not expect to take much less than four years at UMBC to complete a BS in computer science.

For computer science majors, your goal should be to prepare yourself to take CMSC 341 (Data Structures) at UMBC as soon as possible. This means that you should complete the Computer Science I & II sequence (CSI&II) at your current institution. The general advice is that you should take both CSI and CSII at your current institution. Articulation meetings of 2-year colleges and 4-year universities in Maryland (sponsored by the University System of Maryland) have found general agreement on the topics that should be covered in CSI&II, but little agreement on which course should cover which topics. Thus, if you only take CSI at your current institution, your transfer evaluation becomes complicated. The alternative is to take both CSI&II at UMBC, but doing so would probably mean that you will need four years at UMBC to complete a computer science major.

Note that all computer science majors must complete the gateway, as well as complete all the prerequisites for CMSC 341 before registering for CMSC 341. The gateway requires students to have a grade of “B” or better in both CSI&II. Although the letter grade at another institution does not count toward your GPA at UMBC, we will only accept a grade of “B” or better at another institution for the gateway requirements. If you have a grade of “C” or lower for CSI&II, then you must repeat the sequence either at your current institution or at UMBC.  (Note that you may not take CSI or CSII more than twice and remain eligible to major in CS at UMBC.  Third-time retakes of these classes are not permitted.)

Another prerequisite for CMSC 341 (Data Structures) is CMSC 203 (Discrete Structures). This is a mathematics course that teaches computer science majors about truth tables, Boolean algebra, proof by induction, etc. The discrete structures course may be taught out of the math department or the computer science department. You should take a course in discrete structures at your institution, if such a course is available.

Note that most of the programming projects for computer science courses at UMBC will use a UNIX operating system (e.g., Linux). If you have not used UNIX or one of its variants before, then you should familiarize yourself with the UNIX command-line interface, a text editor (e.g., vi, emacs). This will save you the trouble of having to learn UNIX as you are completing your first programming project at a new environment.

Other courses that will help you complete a BS in computer science in a timely fashion include: Calculus I&II, science courses and English composition. Note that as of Fall 2000, computer science majors must take a 1-year sequence in Biology, Chemistry or Physics. This sequence of courses must be designed for science and engineering majors. At UMBC, these sequences are BIOL 141+142 (BIOL 100+301 are being phased out), PHYS 121+122, and CHEM 101+102. Furthermore, the University requirements include a science laboratory course. It will be helpful if you arrive at UMBC having completed the calculus and science requirements.

On the other hand, there are some computer courses that do not help you graduate anytime sooner including: internet “fundamentals”, lower-level database courses, lower-level networking courses, programming courses other than CSI&II. These courses can contribute to your general understanding of computer science and might transfer to UMBC as an elective, but they will not count toward the BS degree requirements in computer science.",General Information,NULL,NULL,Prospective Student
What are the application deadlines?,"1) International Applicants (any applicant who has attended or is attending a foreign school):
Fall Semester:       January 1
Spring Semester:  June 1 of the prior calendar year

2) Domestic Applicants (U.S. Citizens & U.S.-educated permanent residents):
2a) If seeking financial assistance:
Fall Semester:        January 1
Spring Semester:   June 1 of the prior calendar year
2b) If not seeking financial assistance:
Fall Semester:       June 1
Spring Semester:  November 1",Graduate General Information,NULL,NULL,Graduate Student
What if I miss the application deadline? Will my file still be reviewed?,"The department will accept late applications; however, it will not guarantee that they will be reviewed. If an application is received too late, the department will notify the applicant via email and give them a chance to defer their application. The applicant may defer their application only ONCE for up to one year. The email will let the applicant know the deadline by which they must respond in order to have their deferment request processed. Failure to complete the application by the deadline of the semester to which it was deferred will automatically result in denial of the application.",Graduate General Information,NULL,NULL,Graduate Student
What tests are required for admission into the MS and PhD programs?,"Applicants must submit results of the GRE verbal, quantitative, and analytical reasoning tests. No subject area test is required, but good subject area test scores will greatly strengthen an application. In addition, students who graduated from foreign undergraduate institutions (even from English-speaking countries) must submit a TOEFL score which meets the graduate school’s minimum requirements (for the internet-based test the minimum is 80).",Graduate General Information,NULL,NULL,Graduate Student
What is the institution code for UMBC? What is the department code for CSEE?,"UMBC’s institution code is 5835 . You do not need to use a department code, as TOEFL and GRE score reports must be sent directly to the graduate school, NOT the department. Leave the department code section blank, if possible. If you are unable to leave the program code blank, then use the following:
Computer Science = 78
Computer Engineering = 99
Electrical Engineering = 66
Keep in mind that when scores are sent to the department, they will need to be forwarded to the graduate school and this takes time, so your file will be processed faster if your scores are sent directly to the graduate school.",Graduate General Information,NULL,NULL,Graduate Student
How to request a GRE Waiver?,"Computer Science applicants, please read the following FAQ before applying for the CS GRE Waiver. (Link to form provided below)
Q1: Why does the Computer Science Graduate program require the GRE for admission?
A: We receive applications from all over the world, often from unfamiliar universities. The GRE scores are standardized data that allows us to compare applicants with very different backgrounds.
Q2: What is the cutoff for GRE scores?
A: There is no official cutoff for GRE scores. However, admission is competitive, so all other things being equal, the applicant with higher scores has the advantage. For your reference, the top 64 applicants for the Fall 2009 semester had average GRE scores of 544 Verbal, 756 Math and 3.97 Analytic.
Q3: Can I apply for a GRE waiver?
A: Some applicants may request waivers. See the GRE Waiver Request Form for detailed instructions. Note that applicants seeking financial support must have GRE scores. Also, qualifying for a GRE Waiver Request does not imply that your request will be automatically approved. Your request will be approved only if the computer science graduate admissions committee agrees that GRE scores are not needed to make an admissions decision in your case.
Q4: Why is the deadline for requesting a GRE Waiver so early? What if I send in a request after the deadline?
A: The deadlines are early enough so that if your request if denied, then you would still have time to take the GRE. If you send in a request after the deadline and your request is denied, then you will have to defer your application.

Please complete the CS GRE waiver request form: [https://www.csee.umbc.edu/wp-content/uploads/sites/659/2022/05/CS_GRE_Waiver_Request.pdf] or the CE/EE GRE waiver request form: [https://www.csee.umbc.edu/wp-content/uploads/sites/659/2022/05/GRE-Waiver-Form.pdf]. The form must be submitted by March 1st for fall applicants and by September 1st for spring applicants.",Graduate General Information,NULL,NULL,Graduate Student
What are the expectations for graduate admission?,"Admissions is a complex process in which we consider the entire application folder, including research potential, prior accomplishments, motivation, prior course work, GRE scores, communication skills, letters of recommendation, statement of purpose, character, and areas of research interest.
For the MS program, we expect the successful applicant to have completed an undergraduate degree comparable to a BS degree in field of study either at UMBC or elsewhere. We expect a grade point average well above 3.0 (on a 4-point scale) and strong GREs. We expect strong letters from previous professors documenting research experience and potential. UMBC undergraduates are expected to include letters from full-time UMBC faculty. Your statement of purpose should indicate interest in a specific area of the graduate program that you applied for.",Graduate General Information,NULL,NULL,Graduate Student
What are the expectations for PHD admission?,"Admissions is a complex process in which we consider the entire application folder, including research potential, prior accomplishments, motivation, prior course work, GRE scores, communication skills, letters of recommendation, statement of purpose, character, and areas of research interest.
For the PhD program, we expect the successful applicant to have completed an MS degree comparable to the MS degree at UMBC, or to have a strong undergraduate record in the program applied for. We expect a grade point average of at least 3.5 on a scale of 4.0 and very strong GREs. We expect strong letters from previous professors documenting research experience and potential. Your statement of purpose should indicate interest in a specific area of the graduate program and discuss research issues of interest to you.",Graduate General Information,NULL,NULL,Ph.D. Student
"I have completed a BS/MS degree in a closely-related field to Computer Science, and I have some computer experience. Can I be admitted into the MS program?","For admission as a degree-seeking student in the MS program for CS, we expect each applicant to have completed a BS program (or equivalent) in computer science. We expect the successful applicant to have completed equivalents to each of the following eight courses:
1) CMSC 203 Discrete Structure (note that calculus is a prerequisite)
2) CMSC 313 Computer Organization and Assembly Language
3) CMSC 331 Principles of Programming Languages
4) CMSC 341 Data Structures (note that Computer Science I and II are prerequisites)
5) CMSC 411 Computer Architecture
6) CMSC 421 Operating Systems
7) CMSC 441 Algorithm Analysis
At least one course from the following list:
1) CMSC 435  Computer Graphics
2) CMSC 451 Theory of Computing and Formal Languages
3)CMSC 455 Numerical Computations
4) CMSC 461 Database Management Systems
5)CMSC 471 Artificial Intelligence
6) CMSC 481 Computer Networks",Graduate General Information,NULL,NULL,Graduate Student
"I have a degree in a field not related to CS, but have some experience with computers. Can I be admitted to the MS program in CS?","An applicant who has not completed substantially all of the courses listed in response to the previous question will generally not be accepted as a degree-seeking student in our graduate program. However, such a student is invited to take these courses as a “special student” and to reapply after taking them.",Graduate General Information,NULL,NULL,Graduate Student
What is a “special or non-degree seeking” student?,"A “special student” or “non-degree-seeking student” is not in any degree-granting program. Special students may take courses for credit; however, there are significant restrictions as to how many credit hours taken as a special student may transfer toward a degree program, if the student subsequently gains admission as a degree-seeking student. For details, see the catalog. To be admitted as a special student, there are two requirements: grade point average of at least 3.0, and–for students who graduate from foreign institutions–a TOEFL score of at least 213 (on the computerized test). GREs are not required for special students.",Graduate General Information,NULL,NULL,Graduate Student
I wish to be considered for financial support — What should I do ? I have been accepted into the MS or PhD program but I was not offered financial support. What are my chances for obtaining support? Should I do anything to increase my chances of obtaining support?,"The department has a vigorous, externally funded research program, and each year we support a large number of students as TAs and RAs. Checking the box for financial support on your application for admission automatically puts you in consideration for all available support. You do not have to do anything else. Be sure you have your application and supporting materials in before the deadline (January 1 for fall admission).Each year, the top applicants are identified by the admissions committee as candidates for support through TAs or Fellowships. Like decisions for admission, these decisions are also made based on your undergraduate record, test scores, letters of support etc. Although priority is given to PhD students, well-qualified MS students also receive support. Any available support is offered to these applicants. The department typically makes initial offers to incoming students in early March. This offer is included with the letter of admission from the department. For applications that are received or completed late, decisions on financial support are made on a rolling basis, as and when positions become available. Often no positions are available for late applications. Note that while we support a large majority of our full-time students, not all students who have requested financial assistantship can be supported.If you do not recieve support before coming to UMBC, please realize that your chances of subsequently obtaining departmental support are very small. While you may have heard anecdotal stories of students who join the program unsupported later obtaining support, these things happen rarely. International students who come unsupported should in particular plan to be able to support their tuition and living expenses for the duration of their studies since INS regulations prevent them from working while on student visas.Please do not email faculty members with your resumes asking them to evaluate your chances of receiving support — realize that your chances depend on the strength of your application as well as the strength of the other applicants in the pool. No faculty member can evaluate your chances based on your email alone, no matter how much details you enclose.Research assistantships are outside the purview of the admissions committee. RAs are selected by the sponsoring faculty member, from the pool of all current and admitted students. Strong applicants who are seeking research assistantships are encouraged to contact faculty members directly by email. Please do not indiscriminately send email to all faculty professing an interest in their research, though. Faculty do talk to each other about prospective students, and a mass mailing is likely to reduce your chances of getting support. Go through our web page, identify those professors whose research interests you, and then contact them.",Graduate General Information,NULL,NULL,Graduate Student
I submitted an application without the application fee. Will my application be reviewed?,"No. The admissions committee will never see or even know about your application. The Graduate School witholds from the Department all applications submitted without the mandatory application fee. Every year, hundreds of applicants fail to understand this rule. In extreme hardship cases, the applicant may petition the Graduate School to waive the required fee. Such waivers are rarely granted. We understand that for some people a $50 application fee is a tremendous barrier. On the other hand, reviewing each application costs UMBC more than $50, and University policy prevents us from reviewing applications without the fee.",Graduate General Information,NULL,NULL,Graduate Student
"I have applied or I have been admitted, but I would like to delay my matriculation. May I do so, and if so, what should I do?","To delay matriculation, you must submit a request in writing to the department. Such requests are typically granted, but only once and only for up to one year. After one year, or on the second such request, a new application must be submitted, with an additional application fee. Please note that offers for financial support will not be carried over, nor will applications which delay matriculation be considered anew for support.",Graduate General Information,NULL,NULL,Graduate Student
How many credit hours are required for the MS degree?,The requirements vary based on whether you chose the thesis or the non-thesis options. Please carefully read the catalog for detailed descriptions of all degree requirements. https://catalog.umbc.edu/,Graduate General Information,NULL,NULL,Graduate Student
I am currently enrolled in an MS degree program at CSEE. How do I apply for the Ph.D. program?,"You need to submit a new application to the department. Since you are an “internal” applicant, your application does not need to be sent to the Graduate School and you do NOT have to pay a fee. Do NOT use the online system to apply since it will require payment. Simply print out the application form and complete it and submit it to the Graduate Program Coordinator at the department. You must, submit the following documents along with your application: new statement of purpose, and at least three new letters of recommendation from UMBC faculty, an unofficial copy of your most recent transcript. Preferably, these new letters should come from regular faculty who know you well, including your research advisor and any professors with whom you intend to work. In your new statement of purpose, you should explain why you wish to change status, and you should discuss what research you plan to undertake and with whom you intend to carry out this research.",Graduate General Information,NULL,NULL,Graduate Student
